scenario,pair,tau_b,rho,top1_agree,identical,block
Nominal,VIKOR--TOPSIS,0.9806,0.988,0.9914,0.9436,main
Nominal,VIKOR--PROMETHEE,0.9907333333333332,0.99416,0.991,0.9736,main
Nominal,VIKOR--ADD,0.9907333333333332,0.99416,0.991,0.9736,main
Nominal,TOPSIS--PROMETHEE,0.9757333333333332,0.9848800000000001,0.9904,0.9302,main
Nominal,TOPSIS--ADD,0.9757333333333332,0.9848800000000001,0.9904,0.9302,main
Nominal,PROMETHEE--ADD,1.0,1.0,1.0,1.0,main
Nominal,ADD--WSM-V,0.9884,0.993,0.9966,0.9654,factorial
Nominal,ADD--TOPSIS,0.9757333333333332,0.9848800000000001,0.9904,0.9302,factorial
Nominal,ADD--TOPSIS-mm,0.9873333333333334,0.9923599999999999,0.992,0.9624,factorial
Nominal,WSM-V--TOPSIS,0.9873333333333332,0.9924,0.9938,0.962,factorial
Nominal,WSM-V--TOPSIS-mm,0.9933333333333332,0.996,0.9954,0.98,factorial
Nominal,TOPSIS--TOPSIS-mm,0.9873333333333334,0.99236,0.9972,0.9622,factorial
Vibration,VIKOR--TOPSIS,0.9860666666666666,0.9914,0.9918,0.9596,main
Vibration,VIKOR--PROMETHEE,0.9934666666666668,0.9958399999999998,0.9916,0.9818,main
Vibration,VIKOR--ADD,0.9934666666666668,0.9958399999999998,0.9916,0.9818,main
Vibration,TOPSIS--PROMETHEE,0.9831333333333334,0.9894400000000001,0.9906,0.9518,main
Vibration,TOPSIS--ADD,0.9831333333333334,0.9894400000000001,0.9906,0.9518,main
Vibration,PROMETHEE--ADD,1.0,1.0,1.0,1.0,main
Vibration,ADD--WSM-V,0.9924,0.99544,0.9974,0.9772,factorial
Vibration,ADD--TOPSIS,0.9831333333333334,0.9894400000000001,0.9906,0.9518,factorial
Vibration,ADD--TOPSIS-mm,0.9909333333333334,0.9944799999999999,0.9918,0.9732,factorial
Vibration,WSM-V--TOPSIS,0.9906,0.9942799999999999,0.9932,0.9722,factorial
Vibration,WSM-V--TOPSIS-mm,0.9941333333333334,0.9964,0.9944,0.9828,factorial
Vibration,TOPSIS--TOPSIS-mm,0.9916666666666666,0.99492,0.9984,0.9754,factorial
High Temp + Maintenance,VIKOR--TOPSIS,0.989,0.99308,0.994,0.9686,main
High Temp + Maintenance,VIKOR--PROMETHEE,0.9946666666666668,0.9966400000000002,0.993,0.9848,main
High Temp + Maintenance,VIKOR--ADD,0.9946666666666668,0.9966400000000002,0.993,0.9848,main
High Temp + Maintenance,TOPSIS--PROMETHEE,0.9864666666666666,0.9914,0.9922,0.9618,main
High Temp + Maintenance,TOPSIS--ADD,0.9864666666666666,0.9914,0.9922,0.9618,main
High Temp + Maintenance,PROMETHEE--ADD,1.0,1.0,1.0,1.0,main
High Temp + Maintenance,ADD--WSM-V,0.9936666666666666,0.99608,0.9968,0.9816,factorial
High Temp + Maintenance,ADD--TOPSIS,0.9864666666666666,0.9914,0.9922,0.9618,factorial
High Temp + Maintenance,ADD--TOPSIS-mm,0.993,0.9956799999999999,0.9934,0.9796,factorial
High Temp + Maintenance,WSM-V--TOPSIS,0.9926666666666668,0.9955599999999999,0.995,0.9782,factorial
High Temp + Maintenance,WSM-V--TOPSIS-mm,0.9957333333333332,0.9973200000000001,0.9962,0.9878,factorial
High Temp + Maintenance,TOPSIS--TOPSIS-mm,0.9933333333333334,0.9958799999999999,0.9984,0.9806,factorial
