s,scenario,mean_tau_b,mean_identical,nu_mean,delta_w_mean
5.0,Nominal,0.9869111111111112,0.9644666666666666,1.842724982998229,0.1128150521165046
5.0,Vibration,0.9895666666666667,0.9716,1.8599480856885122,0.11459043642853475
5.0,High Temp + Maintenance,0.9926888888888888,0.9796666666666667,1.8669873043193599,0.11533371824908185
10.0,Nominal,0.9838666666666667,0.9551666666666666,1.7827177055696215,0.10633423346141058
10.0,Vibration,0.9876555555555555,0.9653666666666667,1.808614527770321,0.10913749054971444
10.0,High Temp + Maintenance,0.9911444444444445,0.9745,1.8221341738920154,0.1106605227308472
20.0,Nominal,0.9850777777777778,0.9569666666666666,1.7301868449591016,0.1004361289063574
20.0,Vibration,0.9876222222222223,0.9641000000000001,1.7497428951040304,0.10270636151552172
20.0,High Temp + Maintenance,0.9905555555555555,0.9722,1.7666905322268172,0.10463198133024527
50.0,Nominal,0.9840333333333332,0.9532333333333334,1.6403369604837026,0.08995998524483037
50.0,Vibration,0.9910777777777778,0.9737666666666667,1.6779424869624737,0.09467757603640674
50.0,High Temp + Maintenance,0.9910888888888888,0.9738333333333333,1.6832685383119137,0.09533696857159184
