scenario,pair,f_dis,P-T,P-S,P-V,T-S,T-V,S-V
Nominal,VIKOR--TOPSIS,0.0564,0.1702127659574468,0.08156028368794327,0.03900709219858156,0.08156028368794327,0.03546099290780142,0.624113475177305
Nominal,VIKOR--PROMETHEE,0.0264,0.24242424242424243,0.2196969696969697,0.06818181818181818,0.23484848484848486,0.07575757575757576,0.21212121212121213
Nominal,VIKOR--ADD,0.0264,0.24242424242424243,0.2196969696969697,0.06818181818181818,0.23484848484848486,0.07575757575757576,0.21212121212121213
Nominal,TOPSIS--PROMETHEE,0.0698,0.09169054441260745,0.13753581661891118,0.04011461318051576,0.15472779369627507,0.04011461318051576,0.5787965616045845
Nominal,TOPSIS--ADD,0.0698,0.09169054441260745,0.13753581661891118,0.04011461318051576,0.15472779369627507,0.04011461318051576,0.5787965616045845
Nominal,PROMETHEE--ADD,0.0,,,,,,
Vibration,VIKOR--TOPSIS,0.0404,0.19801980198019803,0.07425742574257425,0.0891089108910891,0.0594059405940594,0.039603960396039604,0.5742574257425742
Vibration,VIKOR--PROMETHEE,0.0182,0.2087912087912088,0.24175824175824176,0.10989010989010989,0.25274725274725274,0.08791208791208792,0.17582417582417584
Vibration,VIKOR--ADD,0.0182,0.2087912087912088,0.24175824175824176,0.10989010989010989,0.25274725274725274,0.08791208791208792,0.17582417582417584
Vibration,TOPSIS--PROMETHEE,0.0482,0.11203319502074689,0.14522821576763487,0.07468879668049792,0.13692946058091288,0.03319502074688797,0.5477178423236515
Vibration,TOPSIS--ADD,0.0482,0.11203319502074689,0.14522821576763487,0.07468879668049792,0.13692946058091288,0.03319502074688797,0.5477178423236515
Vibration,PROMETHEE--ADD,0.0,,,,,,
High Temp + Maintenance,VIKOR--TOPSIS,0.0314,0.17834394904458598,0.07006369426751592,0.07643312101910828,0.10828025477707007,0.12101910828025478,0.4968152866242038
High Temp + Maintenance,VIKOR--PROMETHEE,0.0152,0.17105263157894737,0.2631578947368421,0.10526315789473684,0.25,0.17105263157894737,0.09210526315789473
High Temp + Maintenance,VIKOR--ADD,0.0152,0.17105263157894737,0.2631578947368421,0.10526315789473684,0.25,0.17105263157894737,0.09210526315789473
High Temp + Maintenance,TOPSIS--PROMETHEE,0.0382,0.09947643979057591,0.16230366492146597,0.05235602094240838,0.18848167539267016,0.11518324607329843,0.44502617801047123
High Temp + Maintenance,TOPSIS--ADD,0.0382,0.09947643979057591,0.16230366492146597,0.05235602094240838,0.18848167539267016,0.11518324607329843,0.44502617801047123
High Temp + Maintenance,PROMETHEE--ADD,0.0,,,,,,
