scenario,method,component,mean,ci_lo,ci_hi,P_R1,E_rank
Nominal,VIKOR,Pump,0.7686434411051111,0.34413131195408103,0.9999999999987329,0.4764,1.5596
Nominal,VIKOR,Turbine,0.7778598319241399,0.3540855936527281,0.9999999999987362,0.4846,1.545
Nominal,VIKOR,Sensor,0.025137548659367796,0.0,0.43737426159427234,0.012,3.9104
Nominal,VIKOR,Valve,0.2512210532182958,0.0,0.9999999999982367,0.027,2.985
Nominal,TOPSIS,Pump,0.7060399462492243,0.18870934456253213,0.9751297419773247,0.469,1.5744
Nominal,TOPSIS,Turbine,0.7237518252524171,0.19293482353751068,0.9881818878882216,0.4926,1.542
Nominal,TOPSIS,Sensor,0.047195350346119554,0.0,0.6120926750324535,0.0114,3.8672
Nominal,TOPSIS,Valve,0.17130981390365088,0.10993143195110651,0.8819982642042814,0.027,3.0164
Nominal,PROMETHEE,Pump,0.41896074333064715,-0.0573865470837439,0.7700451962259263,0.4758,1.5592
Nominal,PROMETHEE,Turbine,0.4444347606879737,-0.0335755646585566,0.7890227423105208,0.4908,1.5312
Nominal,PROMETHEE,Sensor,-0.5699491028152219,-0.7182263467518638,-0.16664115687316244,0.0076,3.928
Nominal,PROMETHEE,Valve,-0.2934464012033988,-0.4606849422407317,0.3842169288525851,0.0258,2.9816
Nominal,ADD,Pump,0.7758322039596768,0.36102447146198824,0.9742268765978765,0.4758,1.5592
Nominal,ADD,Turbine,0.7949377169776718,0.38008312832768315,0.9846071171315078,0.4908,1.5312
Nominal,ADD,Sensor,0.034149819350275064,0.0,0.4397387579635402,0.0076,3.928
Nominal,ADD,Valve,0.2415268455591424,0.18882248597055473,0.8379777101640306,0.0258,2.9816
Nominal,WSM-V,Pump,0.6112453928031367,0.2526060604212163,0.8608744661990053,0.474,1.5648
Nominal,WSM-V,Turbine,0.6279133183350069,0.26934456414733793,0.8718227761102313,0.4898,1.5358
Nominal,WSM-V,Sensor,0.07618905845682453,0.04246455171570124,0.38193339472961446,0.01,3.897
Nominal,WSM-V,Valve,0.1839016759824196,0.1415680957833801,0.6299624329395396,0.0262,3.0024
Nominal,TOPSIS-mm,Pump,0.7335434704560052,0.29958821788636975,0.9647015838533997,0.4694,1.5682
Nominal,TOPSIS-mm,Turbine,0.7479736380597649,0.30212379525509553,0.9786744306629096,0.4944,1.5368
Nominal,TOPSIS-mm,Sensor,0.043456163027435234,0.0,0.5637125399883806,0.01,3.9014
Nominal,TOPSIS-mm,Valve,0.24456874929573014,0.18645542650092656,0.8475712688163959,0.0262,2.9936
Vibration,VIKOR,Pump,0.7226262091237277,0.3469592001994839,0.9999999999987303,0.3944,1.628
Vibration,VIKOR,Turbine,0.8216186802730712,0.3633290698930978,0.9999999999987403,0.5838,1.4362
Vibration,VIKOR,Sensor,0.013905301303122473,0.0,0.09990817865221366,0.0068,3.9474
Vibration,VIKOR,Valve,0.24954077712798317,0.0,0.6234846995648096,0.015,2.9884
Vibration,TOPSIS,Pump,0.6467803060405376,0.18075619566568008,0.9750399385096147,0.3874,1.641
Vibration,TOPSIS,Turbine,0.7746667496365386,0.19635170018901554,0.9883147217471613,0.5916,1.4314
Vibration,TOPSIS,Sensor,0.030492828587941237,0.0,0.35203336341187136,0.0068,3.9196
Vibration,TOPSIS,Valve,0.15987077805952518,0.10985438906920536,0.6230794974574128,0.0142,3.008
Vibration,PROMETHEE,Pump,0.3689994981797047,-0.0613261599096453,0.7693013957214039,0.3942,1.6266
Vibration,PROMETHEE,Turbine,0.5026812515901047,-0.018992589790751475,0.7970095749235434,0.5896,1.427
Vibration,PROMETHEE,Sensor,-0.5768964459813832,-0.7180127629812257,-0.36215695007667736,0.0026,3.9596
Vibration,PROMETHEE,Valve,-0.2947843037884261,-0.4458731234686301,0.07576967704793047,0.0136,2.9868
Vibration,ADD,Pump,0.7311697576406591,0.3454377820813947,0.9741246345077785,0.3942,1.6266
Vibration,ADD,Turbine,0.831431072698459,0.385721756524857,0.9847993143229471,0.5896,1.427
Vibration,ADD,Sensor,0.02174779951984317,0.0,0.24689967575098623,0.0026,3.9596
Vibration,ADD,Valve,0.23333190616456104,0.18899930221822223,0.6107984473250025,0.0136,2.9868
Vibration,WSM-V,Pump,0.5727863601601235,0.237826429293218,0.8595526522352401,0.3926,1.6316
Vibration,WSM-V,Turbine,0.6682015767983752,0.2751518472723086,0.8741581938528803,0.5888,1.43
Vibration,WSM-V,Sensor,0.06568939841394329,0.04243865505337569,0.247167047880301,0.0044,3.94
Vibration,WSM-V,Valve,0.1762621709364168,0.14160367015015526,0.47513326337972134,0.0142,2.9984
Vibration,TOPSIS-mm,Pump,0.6838014675967051,0.2937654559568868,0.964434210295723,0.3876,1.6378
Vibration,TOPSIS-mm,Turbine,0.7922000768999267,0.306221569181109,0.9789092737765327,0.5928,1.4286
