scenario,component,mean,ci_lo,ci_hi
Nominal,Pump,0.0071177250891732565,0.000464867409198352,0.02808919429202541
Nominal,Turbine,0.007176304910136887,0.0005778098007701889,0.027677886714710675
Nominal,Sensor,0.0005078888588382369,1.2436146071451586e-15,0.003999170295128199
Nominal,Valve,0.000864479718724169,4.270849790984922e-62,0.009550877802039505
Vibration,Pump,0.011738832540689708,0.0004183371318814782,0.04706671992960894
Vibration,Turbine,0.015568602015586686,0.0008614145366331163,0.0580568875201724
Vibration,Sensor,0.000529353281186975,8.109955690240544e-16,0.004072855843442996
Vibration,Valve,0.0007827734623960692,5.597945087283832e-67,0.008509976712074638
High Temp + Maintenance,Pump,0.048623803279845994,0.0016839077819335675,0.19915452076073673
High Temp + Maintenance,Turbine,0.04411908634940356,0.0014168566215662917,0.18767146844961172
High Temp + Maintenance,Sensor,0.0014075665485432088,4.75522260686485e-30,0.011896045219667981
High Temp + Maintenance,Valve,0.0022893923960611183,8.4655087579877e-71,0.024793674330780294
