scenario,theta,tau_vs_additive,tau_vs_topsis,identical_vs_additive,P_R1_Pump,P_R1_Turbine,P_R1_Sensor,P_R1_Valve
Nominal,0.1,0.9551333333333332,0.9639333333333332,0.8676,0.486,0.487,0.0014,0.0256
Nominal,0.2,0.9726,0.9795333333333334,0.9186,0.4816,0.4906,0.0024,0.0254
Nominal,0.25,0.9785333333333333,0.984,0.9362,0.4796,0.4928,0.0026,0.025
Nominal,0.3,0.9827333333333332,0.9848666666666668,0.9486,0.4798,0.4916,0.0034,0.0252
Nominal,0.4,0.9887333333333332,0.9819333333333332,0.9666,0.481,0.4884,0.0054,0.0252
Nominal,0.5,0.994,0.9788,0.9822,0.477,0.491,0.0072,0.0248
Nominal,0.6,0.9960666666666667,0.9762,0.9882,0.475,0.4926,0.0078,0.0246
Nominal,0.75,0.9975333333333332,0.9759333333333332,0.9926,0.4734,0.4938,0.0076,0.0252
Nominal,0.9,0.9973333333333332,0.976,0.992,0.4698,0.497,0.0076,0.0256
Nominal,1.0,1.0,0.9757333333333332,1.0,0.4758,0.4908,0.0076,0.0258
Vibration,0.1,0.9660666666666667,0.9712,0.9,0.4016,0.5832,0.0008,0.0144
Vibration,0.2,0.9815333333333333,0.9853333333333334,0.9454,0.3982,0.5874,0.0012,0.0132
Vibration,0.25,0.9852,0.9886,0.9562,0.3966,0.5894,0.001,0.013
Vibration,0.3,0.9888,0.9892666666666667,0.9668,0.3972,0.5886,0.0014,0.0128
Vibration,0.4,0.9928666666666666,0.9868,0.9788,0.398,0.5876,0.0016,0.0128
Vibration,0.5,0.9964666666666666,0.9850666666666666,0.9894,0.3952,0.59,0.0022,0.0126
Vibration,0.6,0.9978666666666666,0.9838,0.9938,0.3936,0.591,0.0026,0.0128
Vibration,0.75,0.9980666666666668,0.9838666666666666,0.9942,0.3916,0.5928,0.0026,0.013
Vibration,0.9,0.9971333333333334,0.9841333333333332,0.9916,0.3882,0.5958,0.0026,0.0134
Vibration,1.0,1.0,0.9831333333333334,1.0,0.3942,0.5896,0.0026,0.0136
High Temp + Maintenance,0.1,0.9768666666666667,0.9793333333333332,0.9318,0.5214,0.4662,0.0004,0.012
High Temp + Maintenance,0.2,0.9872,0.9882,0.962,0.5158,0.4712,0.0012,0.0118
High Temp + Maintenance,0.25,0.9904666666666668,0.9902666666666666,0.9716,0.5138,0.4738,0.0014,0.011
High Temp + Maintenance,0.3,0.9923333333333332,0.9906666666666666,0.9772,0.5154,0.4718,0.0014,0.0114
High Temp + Maintenance,0.4,0.9951333333333334,0.9882666666666667,0.9854,0.5162,0.4708,0.0018,0.0112
High Temp + Maintenance,0.5,0.9976,0.9874,0.9928,0.5136,0.4732,0.0024,0.0108
High Temp + Maintenance,0.6,0.9979333333333332,0.9869333333333334,0.9938,0.5124,0.4742,0.0028,0.0106
High Temp + Maintenance,0.75,0.9979333333333333,0.9868,0.9938,0.5108,0.4748,0.003,0.0114
High Temp + Maintenance,0.9,0.9974,0.9865333333333333,0.9922,0.5074,0.4782,0.003,0.0114
High Temp + Maintenance,1.0,1.0,0.9864666666666666,1.0,0.5124,0.4726,0.003,0.012
