scenario,component,b1_ahp,b1_entropy,b1_uniform,pc_ahp,wc_ahp,wc_entropy,wc_uniform
Nominal,Pump,0.4758,0.46,0.35289,0.4754,"[0.64, 0.26, 0.11]","[0.72, 0.11, 0.16]","[0.4, 0.39, 0.22]"
Nominal,Turbine,0.4908,0.5104,0.63576,0.4916,"[0.63, 0.26, 0.11]","[0.72, 0.12, 0.17]","[0.29, 0.31, 0.4]"
Nominal,Sensor,0.0076,0.0066,0.00191,0.0074,"[0.64, 0.26, 0.11]","[0.7, 0.13, 0.18]","[0.73, 0.13, 0.14]"
Nominal,Valve,0.0258,0.023,0.00944,0.026,"[0.63, 0.26, 0.11]","[0.66, 0.14, 0.2]","[0.6, 0.23, 0.18]"
Vibration,Pump,0.3942,0.3838,0.29455,0.395,"[0.64, 0.26, 0.11]","[0.73, 0.11, 0.16]","[0.39, 0.39, 0.22]"
Vibration,Turbine,0.5896,0.6008,0.69997,0.5886,"[0.63, 0.26, 0.11]","[0.73, 0.11, 0.16]","[0.31, 0.31, 0.38]"
Vibration,Sensor,0.0026,0.0038,0.00097,0.0028,"[0.64, 0.25, 0.11]","[0.7, 0.12, 0.18]","[0.75, 0.13, 0.12]"
Vibration,Valve,0.0136,0.0116,0.00451,0.0136,"[0.64, 0.26, 0.1]","[0.65, 0.15, 0.21]","[0.61, 0.22, 0.17]"
High Temp + Maintenance,Pump,0.5124,0.5016,0.38867,0.5128,"[0.63, 0.26, 0.11]","[0.74, 0.11, 0.15]","[0.4, 0.38, 0.23]"
High Temp + Maintenance,Turbine,0.4726,0.4848,0.60609,0.4728,"[0.64, 0.26, 0.11]","[0.74, 0.11, 0.15]","[0.29, 0.31, 0.4]"
High Temp + Maintenance,Sensor,0.003,0.003,0.00102,0.0028,"[0.64, 0.25, 0.11]","[0.7, 0.13, 0.18]","[0.74, 0.14, 0.12]"
High Temp + Maintenance,Valve,0.012,0.0106,0.00422,0.0118,"[0.64, 0.26, 0.1]","[0.66, 0.14, 0.2]","[0.61, 0.2, 0.18]"
